name1,name,value,name1_id,name_id,name1_reclamation,name_reclamation,age,sampling_yr,assembly
BM91I_A1,BM91I_A2,-2.72253233170364,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_A1,BM91I_A3,-2.50044693630724,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_A1,BM91I_B1,-0.405889699187362,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_A1,BM91I_B2,-2.30470225591014,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_A1,BM91I_B3,-1.28518029500553,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_A1,BM91I_C2,-2.85360681148134,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_A1,BM91I_C3,-2.4522716469288,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_A2,BM91I_A1,-2.72253233170364,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_A2,BM91I_A3,-2.49525037279052,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_A2,BM91I_B1,-0.245511490675715,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_A2,BM91I_B2,-2.54504624920365,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_A2,BM91I_B3,-1.53269462141354,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_A2,BM91I_C2,-3.14775956585869,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_A2,BM91I_C3,-3.27437009095203,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_A3,BM91I_A1,-2.50044693630724,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_A3,BM91I_A2,-2.49525037279052,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_A3,BM91I_B1,-0.445867905465583,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_A3,BM91I_B2,-2.42765528113844,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_A3,BM91I_B3,-0.99411242819546,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_A3,BM91I_C2,-2.36250304909766,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_A3,BM91I_C3,-2.93848502982543,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_B1,BM91I_A1,-0.405889699187362,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_B1,BM91I_A2,-0.245511490675715,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_B1,BM91I_A3,-0.445867905465583,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_B1,BM91I_B2,1.5693113281969,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_B1,BM91I_B3,-0.0970833017207443,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_B1,BM91I_C2,-0.160652787267627,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_B1,BM91I_C3,-0.535482341148622,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_B2,BM91I_A1,-2.30470225591014,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_B2,BM91I_A2,-2.54504624920365,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_B2,BM91I_A3,-2.42765528113844,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_B2,BM91I_B1,1.5693113281969,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_B2,BM91I_B3,0.139607828458568,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_B2,BM91I_C2,-2.40658361045675,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_B2,BM91I_C3,-2.99124342159889,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_B3,BM91I_A1,-1.28518029500553,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_B3,BM91I_A2,-1.53269462141354,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_B3,BM91I_A3,-0.99411242819546,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_B3,BM91I_B1,-0.0970833017207443,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_B3,BM91I_B2,0.139607828458568,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_B3,BM91I_C2,-1.81647338097448,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_B3,BM91I_C3,-1.75779024354435,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_C2,BM91I_A1,-2.85360681148134,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_C2,BM91I_A2,-3.14775956585869,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_C2,BM91I_A3,-2.36250304909766,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_C2,BM91I_B1,-0.160652787267627,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_C2,BM91I_B2,-2.40658361045675,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_C2,BM91I_B3,-1.81647338097448,2004,2004,no_biosolids,no_biosolids,14,2018,0
BM91I_C2,BM91I_C3,-2.91211733765393,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_C3,BM91I_A1,-2.4522716469288,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_C3,BM91I_A2,-3.27437009095203,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_C3,BM91I_A3,-2.93848502982543,2004,2004,no_biosolids,no_biosolids,14,2018,1
BM91I_C3,BM91I_B1,-0.535482341148622,2004,2004,no_biosolids,no_biosolids,14,2018,0
