site_code,replicate,bareground,rock,litter,western stickseed ,desert parsley,prickly lettuce,wolf willow,rabbit brush,strawberry ,prickly rose,birch leaved spirea,fireweed,juniper,lupine ,aster  spp.,yarrow,milkvetch,alfalfa,dandilion,pussytoes,salsify,losel's tumble mustard ,mullein,clover,hawkweed,willowherb,thistle,kinninnick,grouseberry,pumpelly brome,foxtail barley,poa,fescue,stiff needlegrass,ryegrass,kentucky bluegrass,crested wheatgrass,quack grass,rush,cheatgrass,bluebunch wheatgrass,pine grass,timothy,ponderosa pine,trembling aspen,cyrptocrust,tailings ,droppings
BN99A1,C2,,,98,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,
BN99A1,C3,10,8,5,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,25,,2
BM98A,A1,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,
BM98A,A2,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,
BM98A,A3,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,
BM98A,B1,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,
BM98A,B2,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,
BM98A,B3,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,85,,,,,,,,,,,
BM98A,C1,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,
BM98A,C2,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,
BM98A,C3,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,7,,,,,,,,,
BMJ11A,A1,,,30,,,,,,,,,,,,,30,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,
BMJ11A,A2,2,5,45,,,,,,,,,,,,,3,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,1,,
BMJ11A,A3,5,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,
BMJ11A,B1,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,
BMJ11A,B2,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,
BMJ11A,B3,10,2,60,,,,,,,,,,,,,,,,,,,,,,,,6,,,5,65,,,,,,,,,,,,,,,,,
BMJ11A,C1,,,35,,,,,,,,,,,,,28,,,,,,,,,,,,,,25,10,,,,,,,,,,,,,,,,,
BMJ11A,C2,,,80,,,,,,,,,,,,,,,,2,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
BMJ11A,C3,2,1,75,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,60,,,,,,,,,,,,,,,,,
BND95E,A1,1,,70,,,,,,,,,,,,,,,15,,,2,,,,,,,,,,,,,,,,28,3,,,,,,,,,,
BND95E,A2,2,,75,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,
BND95E,A3,5,2,55,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,25,10,,,,,,,,3,,
BND95E,B1,3,3,60,,,,,,,,,,,,,5,,50,,,,,,,,,,,,,,,,,,,20,,2,,,,,,,,,
BND95E,B2,,,90,,,,,,,,,,,,,,,35,3,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,
BND95E,B3,,6,70,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,10,25,,,,,,,,,,
BND95E,C1,2,3,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,1,,,,,,,,,
BND95E,C2,,15,65,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,8,20,7,,,,,,,,,6
BND95E,C3,5,13,70,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,5,10,,,,,,,,,,
BN92A,A1,,,60,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,
BN92A,A2,20,6,40,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,45,,,,,,,,,10,,
BN92A,A3,,,60,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,2
BN92A,B1,10,25,20,,,,,,,,,,,,,8,,15,,,,,,,1,,,,,,,,,,,,13,,,,,,,,,20,,4
BN92A,B2,,4,60,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,7,15,,,,,,,,3,,4
BN92A,B3,,,55,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,1
BN92A,C1,20,10,20,,,,,,,,,,,,,,,7,,,,,,,1,,,,,,,,,,,,,10,3,,,,,,,10,,
BN92A,C2,3,0,65,,,,,,,,,,,,,15,,20,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,
BN92A,C3,,1,85,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,30,5,,,,,,,,,,
HUEJ14A,A1,65,15,5,,,,,,,,,,,,,,,,,,,,5,,,,10,,,,,,,,,,,,,,15,,,,,,,
HUEJ14A,A2,85,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
HUEJ14A,A3,30,10,20,,,,,,,,,,,,,5,,,,,,,3,,,,,,,,,,,,,,10,,,,55,,,,,,,
HUEJ14A,B1,8,3,10,,,,,,,,,,,,,10,,,3,,,,,,1,,25,,,,,,,,,,,,,,50,,,,,,,10
HUEJ14A,B2,75,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
HUEJ14A,B3,70,20,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,
HUEJ14A,C1,40,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,
HUEJ14A,C2,25,10,15,,,,,,,,,,,,,15,,,,,,,,,,,10,,,,,,,,,,,,,,40,,,,,,,
HUEJ14A,C3,30,8,15,,,,,,,,,,,,,,,,,,,5,,,,,10,,,,,,,,,,,,,,25,,,,,,,
BM91I,A1,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,
BM91I,A2,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,
BM91I,A3,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,
BM91I,B1,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,
BM91I,B2,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,1,,,,,,,,,
BM91I,B3,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,15,2,,,,,,,,,,
BM91I,C1,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,10,,,,,,,,,,,
BM91I,C2,,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,
